0.750 ± 0.019,76.404 ± 1.621
0.745 ± 0.013,75.987 ± 2.196
0.735 ± 0.011,74.518 ± 1.400
0.750 ± 0.020,76.754 ± 1.803
0.747 ± 0.021,75.088 ± 1.861
0.733 ± 0.019,74.189 ± 1.787
0.674 ± 0.026,68.728 ± 2.102
0.659 ± 0.020,67.061 ± 1.995
0.652 ± 0.022,65.789 ± 2.744
0.701 ± 0.037,71.732 ± 3.923
0.691 ± 0.037,69.452 ± 3.002
0.664 ± 0.027,67.632 ± 2.505
0.700 ± 0.022,70.943 ± 2.025
0.702 ± 0.013,71.338 ± 1.827
0.691 ± 0.020,69.759 ± 2.127
0.712 ± 0.022,71.908 ± 2.214
0.693 ± 0.025,69.781 ± 2.386
0.674 ± 0.016,68.487 ± 2.440
0.709 ± 0.015,72.193 ± 1.816
0.710 ± 0.019,71.820 ± 1.415
0.708 ± 0.015,71.754 ± 1.767
0.723 ± 0.020,73.092 ± 1.591
0.715 ± 0.016,71.908 ± 1.722
0.707 ± 0.014,71.031 ± 2.209
0.722 ± 0.013,73.553 ± 1.485
0.720 ± 0.017,73.070 ± 1.643
0.714 ± 0.018,71.579 ± 0.972
0.728 ± 0.017,73.794 ± 1.089
0.724 ± 0.015,72.763 ± 1.649
0.713 ± 0.014,72.171 ± 1.375
0.648 ± 0.031,65.110 ± 2.642
0.641 ± 0.026,65.439 ± 2.124
0.638 ± 0.020,65.132 ± 2.241
0.648 ± 0.059,65.987 ± 5.037
0.642 ± 0.047,65.044 ± 4.153
0.643 ± 0.036,65.417 ± 3.061
0.677 ± 0.018,68.860 ± 2.572
0.684 ± 0.017,69.276 ± 2.174
0.669 ± 0.016,67.961 ± 2.692
0.687 ± 0.029,69.430 ± 2.537
0.667 ± 0.023,67.610 ± 2.302
0.655 ± 0.024,66.184 ± 2.521
0.684 ± 0.021,68.772 ± 2.375
0.685 ± 0.020,69.189 ± 2.246
0.680 ± 0.013,69.298 ± 1.779
0.702 ± 0.025,71.118 ± 1.957
0.690 ± 0.021,69.583 ± 2.493
0.683 ± 0.018,69.386 ± 2.839
0.681 ± 0.017,68.838 ± 2.672
0.681 ± 0.018,69.013 ± 3.091
0.682 ± 0.014,68.947 ± 2.478
0.708 ± 0.018,71.776 ± 1.922
0.693 ± 0.019,69.825 ± 2.399
0.685 ± 0.020,69.013 ± 2.241
0.661 ± 0.027,67.522 ± 2.246
0.656 ± 0.026,66.864 ± 3.055
0.650 ± 0.022,65.943 ± 1.984
0.690 ± 0.047,70.241 ± 4.219
0.678 ± 0.031,68.684 ± 3.112
0.657 ± 0.041,66.974 ± 3.162
0.697 ± 0.021,70.899 ± 1.907
0.692 ± 0.017,70.461 ± 1.892
0.676 ± 0.020,68.838 ± 2.573
0.699 ± 0.031,70.746 ± 2.996
0.689 ± 0.030,69.496 ± 2.417
0.656 ± 0.027,67.193 ± 2.826
