0.701 ± 0.013,70.543 ± 2.122
0.717 ± 0.010,72.093 ± 2.355
0.722 ± 0.011,72.857 ± 2.321
0.732 ± 0.008,73.380 ± 2.435
0.695 ± 0.012,70.382 ± 2.431
0.701 ± 0.010,70.141 ± 2.262
0.713 ± 0.013,71.911 ± 2.317
0.733 ± 0.014,73.602 ± 2.589
0.740 ± 0.009,74.225 ± 2.527
0.746 ± 0.007,75.030 ± 2.332
0.700 ± 0.012,70.825 ± 1.703
0.708 ± 0.009,71.167 ± 2.253
0.710 ± 0.010,71.268 ± 2.283
0.709 ± 0.012,70.885 ± 2.308
0.715 ± 0.010,70.986 ± 2.176
0.715 ± 0.011,71.408 ± 1.941
0.688 ± 0.011,69.195 ± 2.159
0.693 ± 0.011,69.577 ± 2.217
0.696 ± 0.007,70.322 ± 2.257
0.711 ± 0.013,70.865 ± 2.332
0.713 ± 0.011,71.107 ± 2.223
0.717 ± 0.012,71.268 ± 2.514
0.690 ± 0.012,69.376 ± 2.262
0.695 ± 0.010,69.759 ± 2.474
0.699 ± 0.009,70.101 ± 2.201
0.711 ± 0.009,70.966 ± 2.389
0.714 ± 0.009,71.730 ± 2.674
0.722 ± 0.011,72.233 ± 2.540
0.692 ± 0.011,69.678 ± 2.656
0.697 ± 0.013,69.859 ± 2.609
0.703 ± 0.012,70.805 ± 2.388
0.710 ± 0.009,71.066 ± 2.065
0.713 ± 0.010,70.785 ± 2.178
0.719 ± 0.009,71.590 ± 2.506
0.697 ± 0.013,69.718 ± 2.173
0.700 ± 0.011,69.819 ± 2.257
0.701 ± 0.008,70.181 ± 2.296
0.702 ± 0.013,70.644 ± 2.188
0.709 ± 0.011,70.503 ± 2.208
0.714 ± 0.014,71.268 ± 1.904
0.684 ± 0.014,68.853 ± 2.112
0.691 ± 0.012,69.376 ± 2.488
0.693 ± 0.015,70.101 ± 2.286
0.709 ± 0.010,70.865 ± 2.667
0.715 ± 0.013,71.710 ± 2.471
0.723 ± 0.009,72.314 ± 2.012
0.690 ± 0.014,69.396 ± 2.400
0.694 ± 0.013,69.557 ± 2.458
0.699 ± 0.012,70.221 ± 2.133
0.710 ± 0.011,71.046 ± 2.511
0.719 ± 0.015,71.569 ± 2.532
0.727 ± 0.013,73.058 ± 2.480
0.694 ± 0.014,69.537 ± 2.668
0.705 ± 0.011,70.443 ± 2.090
0.710 ± 0.013,71.429 ± 2.381
0.736 ± 0.017,74.004 ± 2.434
0.723 ± 0.017,73.541 ± 2.819
0.736 ± 0.014,74.024 ± 2.376
0.694 ± 0.010,69.879 ± 1.807
0.698 ± 0.006,70.181 ± 2.399
0.705 ± 0.008,71.147 ± 2.338
0.721 ± 0.009,71.811 ± 1.838
0.721 ± 0.011,71.871 ± 2.116
0.724 ± 0.013,72.113 ± 2.095
0.707 ± 0.011,71.127 ± 2.074
0.711 ± 0.012,70.966 ± 2.036
0.709 ± 0.011,71.308 ± 1.953
0.720 ± 0.013,72.274 ± 2.026
0.723 ± 0.014,72.233 ± 2.310
0.728 ± 0.013,72.495 ± 1.853
0.709 ± 0.009,70.463 ± 1.810
0.710 ± 0.012,71.549 ± 1.984
0.715 ± 0.012,71.509 ± 2.134
0.725 ± 0.010,72.414 ± 1.682
0.730 ± 0.010,72.857 ± 2.332
0.734 ± 0.011,73.078 ± 1.839
0.709 ± 0.010,71.066 ± 2.118
0.716 ± 0.012,71.650 ± 2.177
0.716 ± 0.009,71.549 ± 2.088
0.746 ± 0.010,73.742 ± 2.437
0.747 ± 0.011,74.648 ± 2.355
0.748 ± 0.010,74.849 ± 2.105
0.727 ± 0.010,72.736 ± 2.452
0.732 ± 0.013,72.978 ± 2.124
0.734 ± 0.012,73.119 ± 2.364
0.724 ± 0.008,72.636 ± 2.202
0.732 ± 0.012,72.596 ± 1.891
0.734 ± 0.012,73.320 ± 2.282
0.715 ± 0.009,71.288 ± 1.896
0.716 ± 0.007,71.650 ± 2.579
0.717 ± 0.008,71.851 ± 1.935
0.725 ± 0.011,72.716 ± 2.329
0.732 ± 0.011,72.897 ± 2.012
0.730 ± 0.009,72.918 ± 1.964
0.711 ± 0.009,70.845 ± 2.080
0.715 ± 0.010,71.509 ± 2.179
0.716 ± 0.012,71.891 ± 2.255
0.725 ± 0.010,72.495 ± 2.299
0.729 ± 0.009,72.736 ± 2.217
0.731 ± 0.011,73.461 ± 2.076
0.712 ± 0.010,70.946 ± 2.201
0.715 ± 0.007,71.751 ± 2.432
0.721 ± 0.006,71.932 ± 2.045
0.727 ± 0.009,72.535 ± 2.166
0.730 ± 0.012,72.555 ± 2.113
0.731 ± 0.010,73.239 ± 2.384
0.714 ± 0.011,71.529 ± 2.455
0.716 ± 0.008,71.388 ± 2.461
0.717 ± 0.011,71.911 ± 1.708
0.720 ± 0.010,71.670 ± 2.118
0.719 ± 0.010,72.575 ± 1.595
0.724 ± 0.012,72.193 ± 1.911
0.702 ± 0.009,70.563 ± 1.917
0.711 ± 0.011,70.966 ± 2.235
0.712 ± 0.010,71.187 ± 2.154
0.720 ± 0.011,71.590 ± 2.077
0.720 ± 0.011,71.952 ± 1.736
0.723 ± 0.011,72.113 ± 1.816
0.706 ± 0.008,70.885 ± 1.866
0.709 ± 0.010,70.905 ± 2.223
0.715 ± 0.013,71.087 ± 2.107
