0.680 ± 0.017,67.387 ± 2.151
0.670 ± 0.017,66.129 ± 2.112
0.697 ± 0.020,69.059 ± 1.943
0.694 ± 0.015,68.982 ± 2.439
0.682 ± 0.017,67.493 ± 2.200
0.699 ± 0.010,68.742 ± 1.701
0.694 ± 0.012,68.232 ± 1.536
0.689 ± 0.008,68.309 ± 2.103
0.708 ± 0.011,69.769 ± 1.721
0.701 ± 0.018,69.366 ± 2.606
0.688 ± 0.016,67.589 ± 1.970
0.604 ± 0.047,59.971 ± 5.283
0.628 ± 0.073,63.170 ± 7.418
0.645 ± 0.066,64.207 ± 6.239
0.606 ± 0.068,60.086 ± 6.954
0.617 ± 0.098,61.105 ± 9.471
0.651 ± 0.087,64.957 ± 8.693
0.648 ± 0.034,64.563 ± 3.780
0.664 ± 0.048,66.455 ± 5.273
0.677 ± 0.041,67.416 ± 4.865
0.631 ± 0.040,63.112 ± 3.545
0.643 ± 0.051,64.294 ± 4.948
0.656 ± 0.058,65.082 ± 4.793
0.723 ± 0.031,72.219 ± 2.982
0.718 ± 0.030,71.720 ± 2.667
0.707 ± 0.031,70.365 ± 3.030
0.694 ± 0.049,68.924 ± 4.940
0.699 ± 0.050,69.500 ± 4.176
0.677 ± 0.035,67.358 ± 4.192
0.731 ± 0.010,72.911 ± 2.031
0.729 ± 0.012,72.680 ± 2.220
0.720 ± 0.017,71.671 ± 2.196
0.735 ± 0.009,73.016 ± 1.992
0.723 ± 0.025,72.075 ± 2.779
0.713 ± 0.023,70.644 ± 3.159
0.636 ± 0.053,63.237 ± 5.593
0.669 ± 0.039,66.446 ± 3.650
0.681 ± 0.030,67.762 ± 2.275
0.641 ± 0.072,63.391 ± 6.408
0.680 ± 0.046,67.426 ± 3.616
0.698 ± 0.015,69.232 ± 1.576
0.667 ± 0.032,66.244 ± 4.088
0.664 ± 0.041,66.023 ± 4.471
0.679 ± 0.035,67.454 ± 3.646
0.651 ± 0.042,64.313 ± 3.643
0.681 ± 0.024,67.733 ± 2.334
