0.774 ± 0.040,77.626 ± 4.413
0.787 ± 0.043,79.034 ± 5.199
0.825 ± 0.015,82.414 ± 1.968
0.851 ± 0.007,85.111 ± 1.288
0.853 ± 0.010,85.272 ± 1.379
0.851 ± 0.008,85.070 ± 1.382
0.822 ± 0.015,82.274 ± 1.757
0.823 ± 0.012,81.791 ± 1.992
0.832 ± 0.012,83.078 ± 2.584
0.856 ± 0.009,86.076 ± 1.352
0.860 ± 0.009,85.976 ± 1.559
0.857 ± 0.010,85.956 ± 1.425
0.845 ± 0.007,84.950 ± 1.346
0.847 ± 0.008,85.292 ± 0.827
0.850 ± 0.008,85.292 ± 1.308
0.859 ± 0.008,86.137 ± 1.430
0.859 ± 0.008,86.258 ± 1.600
0.863 ± 0.006,86.358 ± 1.436
0.851 ± 0.008,85.573 ± 1.285
0.855 ± 0.007,85.654 ± 1.506
0.856 ± 0.009,86.016 ± 1.362
0.829 ± 0.023,83.260 ± 2.864
0.841 ± 0.015,84.225 ± 1.482
0.850 ± 0.015,85.010 ± 2.101
0.801 ± 0.050,79.879 ± 4.335
0.805 ± 0.039,80.402 ± 4.009
0.844 ± 0.012,84.386 ± 1.710
0.856 ± 0.007,85.312 ± 1.503
0.856 ± 0.011,85.131 ± 1.136
0.858 ± 0.010,86.197 ± 1.463
0.835 ± 0.012,82.998 ± 2.374
0.842 ± 0.013,83.883 ± 2.005
0.848 ± 0.013,84.547 ± 1.697
0.866 ± 0.009,86.378 ± 1.371
0.864 ± 0.008,86.459 ± 1.551
0.866 ± 0.009,86.781 ± 1.166
0.856 ± 0.008,85.433 ± 1.605
0.857 ± 0.009,85.634 ± 1.572
0.860 ± 0.008,85.835 ± 1.657
0.868 ± 0.009,87.163 ± 1.396
0.866 ± 0.008,86.419 ± 1.440
0.867 ± 0.007,86.720 ± 1.135
0.860 ± 0.008,85.976 ± 1.341
0.861 ± 0.008,86.217 ± 1.660
0.863 ± 0.008,86.237 ± 1.329
0.807 ± 0.026,80.463 ± 3.694
0.816 ± 0.028,81.529 ± 3.763
0.831 ± 0.021,83.239 ± 2.307
0.774 ± 0.046,77.968 ± 5.446
0.787 ± 0.051,79.175 ± 5.976
0.813 ± 0.044,81.026 ± 5.203
0.846 ± 0.009,84.205 ± 1.809
0.849 ± 0.006,84.748 ± 2.131
0.852 ± 0.007,84.909 ± 1.846
0.808 ± 0.020,80.664 ± 3.063
0.822 ± 0.030,81.610 ± 2.998
0.824 ± 0.018,81.811 ± 2.820
0.858 ± 0.008,85.815 ± 1.759
0.853 ± 0.007,85.915 ± 1.038
0.855 ± 0.008,85.795 ± 1.446
0.847 ± 0.009,85.171 ± 1.163
0.849 ± 0.008,85.151 ± 1.179
0.849 ± 0.010,84.728 ± 1.392
0.857 ± 0.010,85.694 ± 1.305
0.856 ± 0.009,86.076 ± 1.083
0.860 ± 0.009,85.614 ± 1.729
0.854 ± 0.010,85.372 ± 1.250
0.852 ± 0.009,85.654 ± 1.163
0.853 ± 0.008,85.050 ± 1.026
0.814 ± 0.027,81.187 ± 3.616
0.839 ± 0.023,83.380 ± 2.226
0.849 ± 0.015,84.990 ± 1.920
0.768 ± 0.048,76.801 ± 5.804
0.802 ± 0.046,80.423 ± 5.569
0.841 ± 0.012,83.400 ± 1.873
0.845 ± 0.006,84.346 ± 1.659
0.853 ± 0.010,85.171 ± 2.040
0.856 ± 0.010,85.533 ± 1.588
0.819 ± 0.017,81.871 ± 2.929
0.839 ± 0.015,82.656 ± 2.272
0.848 ± 0.011,84.105 ± 2.038
