0.744 ± 0.022,76.491 ± 1.709
0.738 ± 0.028,75.154 ± 2.582
0.717 ± 0.026,73.136 ± 2.095
0.773 ± 0.020,78.553 ± 1.100
0.765 ± 0.016,78.026 ± 1.018
0.759 ± 0.014,77.368 ± 1.004
0.760 ± 0.015,77.654 ± 0.683
0.757 ± 0.018,76.798 ± 1.212
0.745 ± 0.014,75.702 ± 1.333
0.780 ± 0.020,79.079 ± 0.862
0.778 ± 0.015,79.123 ± 0.935
0.770 ± 0.020,78.640 ± 0.850
0.776 ± 0.016,79.079 ± 0.845
0.776 ± 0.017,78.969 ± 1.049
0.773 ± 0.015,78.750 ± 0.514
0.700 ± 0.044,69.934 ± 4.741
0.680 ± 0.036,68.421 ± 3.772
0.658 ± 0.027,65.943 ± 3.993
0.722 ± 0.057,73.684 ± 5.815
0.724 ± 0.043,72.829 ± 3.673
0.706 ± 0.044,71.272 ± 3.786
0.740 ± 0.017,74.759 ± 2.520
0.729 ± 0.017,73.596 ± 3.072
0.722 ± 0.016,73.246 ± 1.904
0.752 ± 0.023,76.140 ± 1.855
0.724 ± 0.043,73.575 ± 3.769
0.711 ± 0.043,71.886 ± 3.639
0.763 ± 0.015,77.588 ± 1.180
0.757 ± 0.019,76.930 ± 0.887
0.750 ± 0.012,76.404 ± 1.609
0.757 ± 0.016,76.996 ± 1.328
0.749 ± 0.014,76.272 ± 1.605
0.740 ± 0.015,74.583 ± 1.960
0.764 ± 0.015,78.224 ± 0.785
0.764 ± 0.015,77.346 ± 0.966
0.755 ± 0.015,76.952 ± 0.616
0.768 ± 0.013,78.399 ± 1.062
0.763 ± 0.015,78.158 ± 0.905
0.763 ± 0.017,77.719 ± 0.867
0.702 ± 0.035,70.307 ± 3.744
0.687 ± 0.022,69.211 ± 2.588
0.664 ± 0.022,66.667 ± 3.101
0.740 ± 0.026,75.439 ± 2.382
0.728 ± 0.027,74.211 ± 2.481
0.705 ± 0.041,71.996 ± 3.501
0.743 ± 0.017,75.439 ± 1.578
0.741 ± 0.012,75.175 ± 1.655
0.730 ± 0.016,73.333 ± 2.470
0.745 ± 0.021,76.031 ± 1.653
0.735 ± 0.029,74.518 ± 2.979
0.711 ± 0.031,72.083 ± 2.879
0.769 ± 0.018,78.246 ± 0.789
0.761 ± 0.017,77.895 ± 0.619
0.758 ± 0.014,76.908 ± 1.019
0.756 ± 0.017,77.259 ± 1.005
0.751 ± 0.017,76.404 ± 1.234
0.744 ± 0.013,75.132 ± 1.570
0.777 ± 0.017,79.013 ± 1.019
0.777 ± 0.017,78.355 ± 0.941
0.767 ± 0.017,78.202 ± 0.991
0.777 ± 0.015,78.794 ± 1.029
0.773 ± 0.018,78.662 ± 1.127
0.769 ± 0.019,78.509 ± 1.209
0.661 ± 0.022,66.513 ± 3.108
0.653 ± 0.025,65.724 ± 2.858
0.650 ± 0.017,65.592 ± 2.313
0.691 ± 0.041,70.132 ± 4.004
0.686 ± 0.044,68.925 ± 3.751
0.664 ± 0.034,67.325 ± 3.042
0.710 ± 0.019,71.776 ± 2.743
0.709 ± 0.020,71.754 ± 2.553
0.689 ± 0.018,69.649 ± 1.747
0.709 ± 0.034,71.732 ± 3.052
0.691 ± 0.025,69.276 ± 3.031
0.673 ± 0.016,67.741 ± 2.694
0.750 ± 0.013,75.855 ± 1.017
0.743 ± 0.018,75.219 ± 1.101
0.734 ± 0.020,74.189 ± 1.148
0.737 ± 0.009,74.693 ± 1.367
0.731 ± 0.015,73.794 ± 1.925
