0.771 ± 0.070,74.054 ± 4.865
0.778 ± 0.081,74.595 ± 5.156
0.778 ± 0.080,73.784 ± 5.676
0.780 ± 0.081,74.865 ± 5.135
0.771 ± 0.080,75.135 ± 5.897
0.778 ± 0.072,74.595 ± 4.865
0.775 ± 0.069,74.595 ± 4.712
0.775 ± 0.063,74.324 ± 4.720
0.771 ± 0.077,73.784 ± 5.927
0.766 ± 0.076,73.243 ± 5.466
0.773 ± 0.074,73.243 ± 5.466
0.854 ± 0.049,84.054 ± 6.447
0.853 ± 0.055,84.054 ± 5.977
0.849 ± 0.048,83.243 ± 5.897
0.832 ± 0.063,82.162 ± 5.822
0.839 ± 0.063,81.351 ± 7.297
0.817 ± 0.079,77.838 ± 5.771
0.863 ± 0.053,84.595 ± 5.927
0.849 ± 0.060,83.514 ± 6.216
0.841 ± 0.063,82.703 ± 5.432
0.847 ± 0.056,84.324 ± 5.099
0.822 ± 0.081,80.811 ± 6.885
0.824 ± 0.071,79.459 ± 7.372
0.858 ± 0.050,84.595 ± 5.412
0.854 ± 0.048,83.784 ± 6.730
0.841 ± 0.072,83.514 ± 6.778
0.847 ± 0.056,82.432 ± 6.537
0.832 ± 0.061,82.432 ± 6.310
0.827 ± 0.071,80.541 ± 4.954
0.846 ± 0.067,84.324 ± 4.954
0.842 ± 0.062,81.892 ± 6.515
0.839 ± 0.062,81.892 ± 6.286
0.839 ± 0.063,83.514 ± 5.466
0.834 ± 0.066,82.973 ± 6.401
0.824 ± 0.062,81.892 ± 7.053
0.849 ± 0.049,84.595 ± 5.412
0.846 ± 0.052,83.784 ± 7.048
0.844 ± 0.058,83.514 ± 7.687
0.846 ± 0.065,83.243 ± 5.241
0.846 ± 0.055,81.622 ± 7.232
0.831 ± 0.056,80.811 ± 7.197
0.849 ± 0.049,84.324 ± 5.643
0.849 ± 0.060,84.324 ± 6.019
0.846 ± 0.057,84.324 ± 6.139
0.846 ± 0.061,83.243 ± 5.378
0.841 ± 0.050,82.703 ± 5.296
0.839 ± 0.064,83.243 ± 5.241
0.849 ± 0.050,84.865 ± 5.822
0.849 ± 0.055,85.135 ± 6.074
0.847 ± 0.053,83.784 ± 6.281
0.844 ± 0.055,83.784 ± 4.984
0.836 ± 0.054,83.243 ± 6.019
0.842 ± 0.051,82.432 ± 6.537
0.854 ± 0.051,85.405 ± 5.822
0.856 ± 0.049,83.784 ± 4.984
0.844 ± 0.069,84.595 ± 6.286
0.851 ± 0.057,84.865 ± 5.296
0.837 ± 0.060,82.703 ± 6.304
0.841 ± 0.057,82.162 ± 7.068
0.863 ± 0.052,84.054 ± 5.598
0.851 ± 0.053,84.324 ± 5.241
0.839 ± 0.053,83.243 ± 6.019
0.844 ± 0.058,83.243 ± 4.954
0.832 ± 0.064,82.162 ± 5.946
0.817 ± 0.080,80.541 ± 6.922
0.861 ± 0.055,84.865 ± 5.296
0.846 ± 0.052,84.865 ± 6.187
0.842 ± 0.062,82.703 ± 7.068
0.842 ± 0.056,83.243 ± 6.708
0.819 ± 0.077,81.081 ± 5.921
0.825 ± 0.075,81.351 ± 6.778
0.849 ± 0.052,85.135 ± 4.720
0.846 ± 0.054,84.595 ± 6.626
0.844 ± 0.057,83.784 ± 6.396
0.842 ± 0.050,83.784 ± 5.797
0.841 ± 0.052,83.243 ± 5.771
0.825 ± 0.073,80.541 ± 6.257
0.856 ± 0.055,84.865 ± 4.865
0.839 ± 0.063,83.243 ± 6.708
0.834 ± 0.062,83.243 ± 5.643
0.837 ± 0.057,83.784 ± 5.405
0.831 ± 0.066,81.892 ± 7.456
0.824 ± 0.070,80.811 ± 6.447
0.861 ± 0.048,85.946 ± 5.099
