0.807 ± 0.073,81.351 ± 8.413
0.810 ± 0.063,80.270 ± 5.927
0.798 ± 0.080,75.405 ± 10.000
0.800 ± 0.059,77.568 ± 7.456
0.786 ± 0.049,74.865 ± 8.378
0.812 ± 0.061,81.622 ± 4.490
0.812 ± 0.067,80.811 ± 6.559
0.807 ± 0.065,81.351 ± 5.853
0.812 ± 0.065,80.000 ± 7.663
0.793 ± 0.064,76.486 ± 9.049
0.795 ± 0.057,76.757 ± 7.758
0.807 ± 0.072,81.081 ± 6.943
0.805 ± 0.059,80.000 ± 8.564
0.792 ± 0.075,79.459 ± 7.272
0.798 ± 0.064,79.189 ± 6.515
0.805 ± 0.073,78.108 ± 7.094
0.775 ± 0.061,75.676 ± 7.151
0.771 ± 0.073,77.838 ± 6.708
0.793 ± 0.078,79.189 ± 8.022
0.776 ± 0.079,78.919 ± 7.232
0.778 ± 0.052,76.757 ± 7.944
0.769 ± 0.046,74.865 ± 7.553
0.764 ± 0.052,75.676 ± 6.281
0.788 ± 0.077,80.000 ± 9.908
0.807 ± 0.071,79.189 ± 9.748
0.803 ± 0.089,80.270 ± 11.406
0.819 ± 0.077,81.081 ± 11.904
0.792 ± 0.072,79.459 ± 11.222
0.788 ± 0.080,79.459 ± 11.351
0.839 ± 0.067,81.892 ± 7.930
0.825 ± 0.062,83.784 ± 9.205
0.822 ± 0.069,82.973 ± 8.291
0.829 ± 0.079,81.351 ± 10.429
0.827 ± 0.071,81.892 ± 8.720
0.824 ± 0.060,80.000 ± 7.663
0.815 ± 0.064,80.000 ± 6.751
0.793 ± 0.086,79.189 ± 7.053
0.812 ± 0.070,80.000 ± 8.478
0.786 ± 0.082,78.919 ± 8.444
0.790 ± 0.073,79.459 ± 7.272
0.793 ± 0.069,79.189 ± 6.843
0.802 ± 0.066,79.189 ± 6.515
0.790 ± 0.081,79.730 ± 6.970
0.783 ± 0.078,78.378 ± 7.451
0.785 ± 0.072,79.459 ± 7.372
0.781 ± 0.080,78.378 ± 7.644
0.783 ± 0.082,79.189 ± 7.456
0.797 ± 0.075,77.568 ± 10.401
0.795 ± 0.080,79.189 ± 11.147
